"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
2.9,2,23,15,12,0,127,67,50,56,1.8955223880597,2800,1434.48275862069,2080,20,0.121599027207782
2.6,1.8,21,14,5,0,127,64,48,54,1.984375,2820,1538.46153846154,2222.22222222222,20,0.121599027207782
3.1,2.1,24,16,5,0,128,68,50,57,1.88235294117647,2840,1367.74193548387,2019.04761904762,20,0.121599027207782
3,2.1,24,16,6,0,127,70,50,57,1.81428571428571,2860,1413.33333333333,2019.04761904762,20,0.121599027207782
3.5,2.4,27,19,6,0,128,78,53,63,1.64102564102564,2880,1348.57142857143,1966.66666666667,20,0.121599027207782
4.1,2.8,33,22,8,0,127,77,51,61,1.64935064935065,2900,1112.19512195122,1628.57142857143,20,0.121599027207782
3.9,2.6,30,21,8,0,127,72,49,58,1.76388888888889,2920,1107.69230769231,1661.53846153846,20,0.121599027207782
3.3,2.3,26,18,8,0,127,69,49,57,1.84057971014493,2940,1284.84848484848,1843.47826086957,20,0.121599027207782
3.1,2.1,24,17,14,0,127,67,48,56,1.8955223880597,2960,1341.93548387097,1980.95238095238,20,0.121599027207782
3.2,2.2,25,17,9,0,127,68,49,56,1.86764705882353,2980,1300,1890.90909090909,20,0.121599027207782
3.2,2.2,25,17,7,0,127,66,48,55,1.92424242424242,3000,1275,1854.54545454545,20,0.121599027207782
2.9,2,23,16,6,0,127,66,49,55,1.92424242424242,3020,1406.89655172414,2040,20,0.121599027207782
3.2,2.2,25,17,6,0,127,67,49,56,1.8955223880597,3040,1300,1890.90909090909,20,0.121599027207782
3.3,2.3,27,18,7,0,124,68,48,56,1.82352941176471,3060,1260.60606060606,1808.69565217391,20,0.121599027207782
3.1,2.1,25,17,8,0,120,66,48,55,1.81818181818182,3080,1316.12903225806,1942.85714285714,20,0.121599027207782
3.3,2.2,26,17,6,0,128,68,49,56,1.88235294117647,3100,1260.60606060606,1890.90909090909,20,0.121599027207782
3.2,2.2,25,17,5,0,128,68,49,56,1.88235294117647,3120,1300,1890.90909090909,20,0.121599027207782
3.2,2.2,25,17,4,0,127,66,48,55,1.92424242424242,3140,1275,1854.54545454545,20,0.121599027207782
3.2,2.2,25,17,6,0,127,64,47,54,1.984375,3160,1250,1818.18181818182,20,0.121599027207782
3.2,2.2,26,17,6,0,127,65,48,54,1.95384615384615,3180,1250,1818.18181818182,20,0.121599027207782
3,2.1,24,16,6,0,127,64,48,54,1.984375,3200,1333.33333333333,1904.7619047619,20,0.121599027207782
3.1,2.1,24,17,5,0,127,64,47,54,1.984375,3220,1290.32258064516,1904.7619047619,20,0.121599027207782
3.1,2.1,24,16,6,0,127,64,48,54,1.984375,3240,1290.32258064516,1904.7619047619,20,0.121599027207782
3.2,2.2,25,17,4,0,127,65,48,54,1.95384615384615,3260,1250,1818.18181818182,20,0.121599027207782
3.1,2.1,24,17,6,0,127,65,47,54,1.95384615384615,3280,1290.32258064516,1904.7619047619,20,0.121599027207782
3,2,24,16,6,0,126,63,47,53,2,3300,1306.66666666667,1960,20,0.121599027207782
2.9,2,23,16,9,0,127,63,48,54,2.01587301587302,3320,1379.31034482759,2000,20,0.121599027207782
3,2,24,16,9,0,126,66,49,55,1.90909090909091,3340,1360,2040,20,0.121599027207782
2.3,1.6,19,13,9,0,121,66,50,56,1.83333333333333,3360,1808.69565217391,2600,20,0.121599027207782
2.5,1.7,20,14,9,0,124,62,48,53,2,3380,1568,2305.88235294118,20,0.121599027207782
2.4,1.7,20,13,10,0,123,60,47,52,2.05,3400,1600,2258.82352941176,20,0.121599027207782
2.4,1.6,19,13,10,0,125,59,46,51,2.11864406779661,3420,1566.66666666667,2350,20,0.121599027207782
2.6,1.8,21,14,10,0,126,61,47,52,2.0655737704918,3440,1476.92307692308,2133.33333333333,20,0.121599027207782
2.6,1.7,20,14,7,0,127,60,46,52,2.11666666666667,3460,1476.92307692308,2258.82352941176,20,0.121599027207782
2.4,1.7,19,13,9,0,127,59,47,52,2.15254237288136,3480,1600,2258.82352941176,20,0.121599027207782
2.4,1.6,19,13,8,0,127,57,45,50,2.2280701754386,3500,1533.33333333333,2300,20,0.121599027207782
2.2,1.5,17,12,8,0,125,52,43,47,2.40384615384615,3520,1563.63636363636,2293.33333333333,20,0.121599027207782
2.2,1.5,17,12,8,0,126,52,43,47,2.42307692307692,3540,1563.63636363636,2293.33333333333,20,0.121599027207782
